"","Rep_2020_Pres","Dem_2020_Pres","Total_2020_Pres","District"
"232",217292,111535,333730,"MS-01"
"233",121247,208181,333313,"MS-02"
"234",212292,128372,344969,"MS-03"
"235",205933,91310,301747,"MS-04"
"236",165186,143417,316599,"MT-01"
"237",178416,101369,287041,"MT-02"
"238",179763,208361,392304,"NC-01"
"239",144709,264141,416832,"NC-02"
"240",227412,134414,367320,"NC-03"
"241",128685,270348,404869,"NC-04"
"242",242333,156407,404272,"NC-05"
"243",169200,217774,392408,"NC-06"
"244",227496,175538,408496,"NC-07"
"245",261151,127293,393595,"NC-08"
"246",189802,161402,356568,"NC-09"
"247",274555,117766,397247,"NC-10"
"248",236407,192267,435522,"NC-11"
"249",125150,235497,366560,"NC-12"
"250",191578,198300,396809,"NC-13"
"251",160490,224590,391764,"NC-14"
"252",171834,136856,316213,"NE-01"
"253",143563,163346,313187,"NE-02"
"254",241449,74381,322312,"NE-03"
"255",186410,210310,403198,"NH-01"
"256",179250,214627,400635,"NH-02"
"257",149308,247673,402401,"NJ-01"
"258",212723,192116,410267,"NJ-02"
"259",186277,248448,440507,"NJ-03"
"260",259866,163477,428872,"NJ-04"
"261",186713,240337,432502,"NJ-05"
"262",131984,197763,334105,"NJ-06"
"263",218813,235720,462052,"NJ-07"
"264",64976,172276,239770,"NJ-08"
"265",125871,185776,314989,"NJ-09"
"266",53598,236302,292250,"NJ-10"
"267",179005,252518,437004,"NJ-11"
"268",114140,235929,354634,"NJ-12"
"269",149216,201152,359119,"NM-01"
"270",121870,137454,264910,"NM-02"
"271",130808,163008,299936,"NM-03"
"272",144981,172630,324302,"NV-01"
"273",217352,173065,401976,"NV-02"
"274",166060,190170,363055,"NV-03"
"275",141497,167621,316043,"NV-04"
"276",211235,212150,429627,"NY-01"
"277",180969,175557,361503,"NY-02"
"278",180846,213376,399248,"NY-03"
"279",166536,223908,395629,"NY-04"
"280",49325,216236,267618,"NY-05"
"281",82743,155615,241095,"NY-06"
"282",47021,207893,258252,"NY-07"
"283",58982,194739,256069,"NY-08"
"284",64239,202885,269606,"NY-09"
"285",39879,244557,288430,"NY-10"
"286",157195,134686,295501,"NY-11"
"287",47205,291101,343316,"NY-12"
"288",30506,242573,276080,"NY-13"
"289",49636,181163,233154,"NY-14"
"290",31682,182449,215989,"NY-15"
